id,side,force,commander,units,date_start,date_end,event_type,from_place,to_place,action_place,description,confidence,source,note
13,Boer,Smuts commando,Asst-Cmdt-Gen Jan Smuts,Smuts commando,1901-09-03,1901-11-30,march,Orange River (crossed 3 Sep 1901),Aberdeen district,Jansenville,Smuts's commando transits the eastern Cape; bypasses Jansenville's armed Town Guard fort,medium,SAMHS vol102rt,Single local-history source; Jansenville/Aberdeen leg dated Nov 1901
15,British,Four-column drive (Crewe/Wyndham/Doran/Scobell),Lt-Gen John French (directing),French's columns (combined drive),1901-07-14,1901-08-15,drive,Midlands railheads,Camdeboo (Aberdeen district),Aberdeen,Four columns sweep the Camdeboo after Scheepers; a laager near Aberdeen is surprised 15 Aug (~30 taken),high,SAMHS vol073vm,
16,British,Crabbe's column,Col Eyre Crabbe,Crabbe's column,1901-05-01,1901-07-21,pursuit,Cape Midlands,Mortimer,Mortimer,Crabbe's column brushes Fouche (May) and Kritzinger (July); falls back on Mortimer 21 Jul,high,Wikipedia: Eyre Crabbe; SAMHS vol073vm,
17,British,Cape Police (Eastern Cape),Col George Gorringe,Gorringe's column,1901-08-13,1901-08-13,engagement,Stormberg district,near Steynsburg,Steynsburg,Gorringe routs Kritzinger's commando near Steynsburg; Erasmus and Cachet taken,high,Wikipedia: George Gorringe; SAMHS vol073vm,
18,Boer,Lotter commando,Cmdt Johannes (Hans) Lotter,Lötter commando,1901-03-01,1901-09-05,raid,Maraisburg/Hofmeyr,Groenkloof,Groenkloof,Lotter splits from Kritzinger (~Mar) and raids the Cape Midlands until destroyed,high,SAMHS vol015hk; Wikipedia: Johannes Lotter,
19,Boer,Lotter commando,Cmdt Johannes Lotter,Lötter commando,1901-08-10,1901-08-10,skirmish,Cape Midlands,near Bethesda Road,New Bethesda,Lotter's commando captures a party of French's Scouts near Bethesda Road,high,SAMHS vol015hk,
20,British,Doran's column,Lt-Col Beauchamp Doran,Doran's column,1901-09-02,1901-09-02,engagement,Cradock district,Garstland Kloof (near Cradock),Cradock,Doran's column strikes Lotter at Garstland Kloof near Cradock,high,SAMHS vol015hk; Wikipedia: Beauchamp Doran,
21,British,Scobell's column,Lt-Col Harry Scobell,Scobell's column,1901-09-05,1901-09-05,engagement,Groenkloof,Groenkloof (Bamboesberg),Groenkloof,Scobell destroys Lotter's commando at Groenkloof; Boer ~19 killed / ~114 captured,high,SAMHS vol015hk; Wikipedia: Battle of Groenkloof,Casualty counts & exact farm (Groenkloof vs Bouwershoek/Tandjesberg) source-conflicted
22,Boer,Lotter (capture & execution),Cmdt Johannes Lotter,Lötter commando,1901-10-12,1901-10-12,execution,Groenkloof,Middelburg (Cape),Middelburg (Cape),Lotter tried under martial law and executed at Middelburg ~12 Oct 1901,high,Wikipedia: Johannes Lotter; SAMHS vol015hk,11 Oct date REFUTED (0-3); 12 Oct the likely date
23,Boer,Maritz commando,Gen Manie Maritz,Maritz commando,1901-08-07,1902-01-31,raid,Western Cape,Namaqualand,Vanrhynsdorp,Maritz raids the western Cape/Namaqualand; Leliefontein mission attack 31 Jan 1902,high,SAMHS vol201gv; Davitt,WESTERN Cape - outside Eastern Cape focus (included for completeness)
24,Boer,Smuts/van Deventer commando,Asst-Cmdt-Gen Jan Smuts & Cmdt van Deventer,Smuts commando,1902-04-01,1902-05-03,march,near Cape Town,Okiep (Namaqualand),Okiep,"Smuts led ~300 burghers from the Orange River into the western Cape Sep 1901, routing C Squadron 17th Lancers at Modderfontein, raiding as far as Springbok and Namaqualand. Besieged Okiep Apr-May 1902. The most daring Boer commando operation in the Cape Colony.",high,SAMHS vol201gv; Wikipedia,WESTERN Cape - outside Eastern Cape focus; van Deventer was a Commandant not a general
25,Boer,van Reenen commando,Cmdt G.H.P. van Reenen,van Reenen commando,1901-03-01,1901-03-31,retreat,Cape Midlands,Orange River,Orange River~Norvalspont,Van Reenen leads ~300 men (half a commando) back north across the Orange River,medium,SAMHS vol073vm,Approx date (March 1901); part of the first-invasion northward retreat
26,British,17th Lancers (Wyndham's column),"Wyndham, Col",Wyndham's column (17th Lancers),1901-06-07,1901-06-07,engagement,Steynsburg district,Ruigtevlei (south of Steynsburg),Ruigtevlei~Steynsburg,Night attack on van Reenen's camp at Ruigtevlei (betrayed by a loyalist farmer); ~18 rebels captured; Jan Kruger + 1 British soldier killed; van Reenen & Capt Botha escape; Veldkornet Jan Kruger killed,medium,news24 'Lootjie bepaal lot'; Conan Doyle ch.35; angloboerwar 17th Lancers,Conan Doyle dates it 6 Jun w/ 22 prisoners; Afrikaans source 7 Jun w/ 18 captured; Jan & Christiaan Kruger were veldkornets (family record)
27,British,Cape Police (Eastern Cape),Col George Gorringe,Gorringe's column,1901-08-18,1901-08-18,pursuit,Steynsburg,Venterstad,Venterstad,Gorringe pursues the commandos from Steynsburg to Venterstad killing ~20 and taking prisoners,high,Conan Doyle ch.35; SAMHS vol073vm,Follows the 13 Aug rout of Kritzinger near Steynsburg (row 17)
28,Boer,Smuts commando,Asst-Cmdt-Gen Jan Smuts,Smuts commando,1901-09-17,1901-09-17,engagement,Elands River Poort,Modderfontein farm (near Tarkastad),Modderfontein,Smuts overwhelms C Squadron 17th Lancers (Capt Sandeman) at Modderfontein; Boer victory,high,Wikipedia: Battle of Elands River (1901),British 29 killed/41 wounded/60 captured; Boer 1 killed/6 wounded; Smuts re-arms from captured kit
30,British,Martial-law court (Steynsburg),,British (martial law),1901-06-17,1901-06-17,trial,Ruigtevlei (capture site),Steynsburg,Steynsburg,Five rebels of van Reenen's commando condemned; lots drawn (one to be shot as example) - the lot fell on Kloppert,medium,news24 'Lootjie bepaal lot',The five: Kloppert; Andries & Christiaan Kruger; C.W.C. van Biljon; Stef Koekemoer
31,British,Execution (martial law),,British (martial law),1901-07-24,1901-07-24,execution,Steynsburg,Burgersdorp,Burgersdorp,Petrus Kloppert executed at Burgersdorp as a deterrent; the other four condemned (incl. both Krugers) exiled to Bermuda,medium,news24 'Lootjie bepaal lot',Execution method (shot vs hanged) conflicts across sources
33,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-02-06,1901-02-06,engagement,,Klipplaat,Klipplaat,Kritzinger's men overwhelm a ~25-man British detachment at Klipplaat,medium,angloboerwar Cape chronology,
34,British,Imperial Yeomanry,,Imperial Yeomanry,1901-02-12,1901-02-12,engagement,,near Willowmore,Willowmore,An Imperial Yeomanry patrol is surprised and captured near Willowmore,medium,angloboerwar Cape chronology,
35,British,Cape Police (Eastern Cape),Col George Gorringe,Gorringe's column,1901-02-23,1901-02-24,engagement,,Fish River Station (N of Cradock),Cradock,Kritzinger engages Gorringe's column at Fish River Station north of Cradock,medium,angloboerwar Cape chronology,anchored near Cradock
36,Boer,Malan commando,Cmdt Wynand Malan,Malan commando,1901-02-25,1901-02-25,engagement,,Richmond,Richmond,Malan's commando tries to occupy Richmond but is repulsed,medium,angloboerwar Cape chronology,
37,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-03-03,1901-03-03,engagement,,Pearston,Pearston,Kritzinger surrounds the village of Pearston,medium,angloboerwar Cape chronology,
38,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-04-08,1901-04-09,raid,Middelburg (Cape),Conway,Middelburg (Cape),Kritzinger derails a train on the Cradock line (8 Apr) and loots Conway (9 Apr),medium,angloboerwar Cape chronology,Conway anchored on the Cradock-Middelburg line
39,British,17th Lancers,,17th Lancers,1900-12-01,,deployment,Orange River,Cape Town,Orange River~Norvalspont,17th Lancers enter Cape Colony (Dec 1900); split into column squadrons from June 1901,high,angloboerwar 17th Lancers; Wikipedia,date_end cleared: was 1901-06-30; the Jun 30 end caused t_start > t_end reversal vs Cradock engagement Feb 23 1901 (ID 35)
40,British,Cape Police (Eastern Cape),Col George Gorringe,Gorringe's column,1901-09-18,1901-09-30,pursuit,Tarkastad,southern Cape,Tarkastad,Gorringe's column pursues Smuts southward after the Modderfontein action,medium,angloboerwar Cape chronology,direction of pursuit; anchored at Tarkastad
41,British,Imperial Yeomanry / Scobell & Parsons,"Parsons, Col; Lt-Col Scobell",Imperial Yeomanry,1901-03-05,1901-03-06,engagement,,near Aberdeen,Aberdeen,Columns under Parsons & Scobell relieve the Aberdeen garrison attacked by Scheepers; IY patrols lose 4 killed,high,SAMHS vol141sw; saartillery IY,
43,British,Brabant's Horse,Brig-Gen Edward Brabant (corps),Brabant's Horse,1901-06-28,1901-06-28,engagement,,near Richmond,Richmond,Brabant's Horse 1st corps heavily engaged near Richmond vs Malan (May-June Cradock/Richmond ops),high,angloboerwar Brabant's Horse,
44,British,Nesbitt's Horse,,Nesbitt's Horse,1901-09-21,1901-09-21,engagement,,Ganna Hoek,Cradock,Nesbitt's Horse (Lt Callaghan) repulses a Boer attack at Ganna Hoek,high,angloboerwar Nesbitt's Horse; Kitchener despatch 8 Dec 1901,Ganna Hoek anchored in the Bankberg/Cradock district
45,British,Nesbitt's Horse + Jansenville DMT,,Nesbitt's Horse,1902-05-27,1902-05-27,capture,,near Sheldon,Sheldon,"Local troops defeat and capture Cmdt Wynand Malan near Sheldon, ~4 days before peace",high,angloboerwar Jansenville DMT; SAMHS vol073vm,
46,British,17th Lancers (Haig's command),Lt-Col Douglas Haig,17th Lancers (Haig's command),1901-09-15,1901-09-17,deployment,Stormberg,Modderfontein (near Tarkastad),Modderfontein,C Squadron railed from Stormberg to Tarkastad on 15 Sep then posted forward to van Heerden's farm Modderfontein (~22km NW of Tarkastad) to guard the Buysrivierpoort and Elandsrivierpoort passes; overrun by Smuts on 17 Sep,high,SAMHS vol131rs; Wikipedia: Battle of Elands River (1901),C Sqn camp dominated by high ground; high Elands River prevented withdrawal
47,British,17th Lancers (Haig's command),Lt-Col Douglas Haig,17th Lancers (Haig's command),1901-09-15,1901-09-17,deployment,Stormberg district,Tarkastad,Tarkastad,"Haig held his HQ and two further Lancer squadrons at Tarkastad (A Squadron camped forward at Hoogstede); on news of the attack at 16:30 on 17 Sep Haig galloped ~22km to Modderfontein, arriving too late to pursue",high,SAMHS vol131rs,the missing Tarkastad leg of the 17th Lancers
48,British,17th Lancers (Haig's command),Lt-Col Douglas Haig,17th Lancers (Haig's command),1901-09-17,1901-09-18,move,Modderfontein,Cradock,Cradock,Modderfontein wounded carried back into Tarkastad and on to the Red Cross hospital at Cradock,high,SAMHS vol131rs,
49,Boer,Fouche commando,Cmdt Willem Fouché,Fouche commando,1900-12-01,1901-01-31,deployment,Orange River,Cradock district,Cradock,Fouché crossed into the Cape with Hertzog's Dec-1900 invasion (alongside Kritzinger and Scheepers) and ranged the Cradock-Maraisburg-Steynsburg-Middelburg districts in early Jan 1901,medium,SAMHS vol073vm; bwm.org.au,entered with Hertzog/Kritzinger/Scheepers/Smith
50,Boer,Scheepers commando,"Scheepers, Cmdt G.; Cmdt W. Fouché",Scheepers commando,1901-02-27,1901-02-27,engagement,south of Graaff-Reinet,Willowmore district,Willowmore,"After splitting from Kritzinger mid-Feb, Scheepers & Fouché skirmish with Col L.W. Parsons' column and are forced north out of the Willowmore district",medium,SAMHS vol073vm,
51,Boer,Scheepers commando,"Scheepers, Cmdt G.; Cmdt W. Fouché",Scheepers commando,1901-03-06,1901-03-06,engagement,Willowmore district,Aberdeen,Aberdeen,"Scheepers & Fouché attack Aberdeen but are repulsed by the town guard and retreat into the Koudeveld mountains (Boer side of the 5-6 Mar Aberdeen relief, row 41)",high,SAMHS vol073vm,corroborates row 41 from the Boer perspective
52,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-03-15,1901-03-15,engagement,Camdeboo,Graaff-Reinet,Graaff-Reinet,Scheepers clashes with colonial scouts at Graaff-Reinet; the farm Uitkomst destroyed,high,SAMHS jnl2 vol185gs,
53,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-03-19,1901-03-19,engagement,Graaff-Reinet district,Jansenville,Jansenville,Scheepers engages colonial troops at Jansenville,high,SAMHS jnl2 vol185gs,
54,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-05-08,1901-05-08,raid,Camdeboo,Pearston,Pearston,Scheepers derails a train at Mortimer and loots the stores at Pearston,high,SAMHS jnl2 vol185gs,railway-wrecking phase in the Midlands
55,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-05-09,1901-05-09,engagement,Pearston district,Gannahoek (near Cradock),Cradock,Scheepers engaged at Gannahoek near Cradock,high,SAMHS jnl2 vol185gs,
56,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-05-12,1901-05-12,engagement,Cradock district,Quaggashoek (near Tarkastad),Tarkastad,Scheepers clashes at Quaggashoek near Tarkastad,high,SAMHS jnl2 vol185gs,another Tarkastad-district action
57,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-05-18,1901-05-18,raid,Tarkastad district,Marais Siding,Cradock,Scheepers ambushes and burns a train at Marais Siding on the midland railway,medium,SAMHS jnl2 vol185gs,Marais Siding anchored on the Midland line near Cradock
58,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-06-14,1901-07-06,raid,Camdeboo,Murraysburg,Murraysburg,Scheepers occupies Murraysburg three times (14 & 27 Jun and 6 Jul); public buildings and shops destroyed,high,SAMHS jnl2 vol185gs,occupied three separate times
59,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-07-14,1901-07-14,engagement,Murraysburg district,Camdeboo Mountains,Aberdeen,Scheepers engaged in the Camdeboo Mountains as French's four columns sweep the district,high,SAMHS jnl2 vol185gs; SAMHS vol073vm,coincides with the four-column drive (row 15)
60,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-08-06,1901-08-06,engagement,Aberdeen district,Rooiklip (near Steytlerville),Steytlerville,Scheepers engaged at Rooiklip/Wanhoop near Steytlerville before drifting south-west out of the Eastern Cape,high,SAMHS jnl2 vol185gs,last major Eastern-Cape action before the SW Karoo drift
61,Boer,Malan commando,Cmdt Wynand Malan,Malan commando,1901-02-26,1901-02-26,engagement,Richmond district,Richmond district,Richmond,The day after the repulse at Richmond Malan captures a patrol of Kitchener's Fighting Scouts,medium,SAMHS vol073vm,
62,Boer,Malan commando,Cmdt Wynand Malan,Malan commando,1901-03-20,1901-03-20,engagement,Camdeboo,Blaauwkrantz (20km N of Jansenville),Jansenville,Malan suffers a severe reverse at Blaauwkrantz - 14 Boers killed and 4 taken prisoner (3 British killed),medium,SAMHS vol073vm; SAMHS vol102rt,Blaauwkrantz placed 20km N of Jansenville per the Town Guard forts study; date 20 Mar (vol073vm) vs 21 Mar (vol102rt)
63,Boer,Malan commando,Cmdt Wynand Malan,Malan commando,1901-05-02,1901-05-03,raid,Cradock district,Mortimer (south of Cradock),Cradock,Malan captures 8 men of the Diamond Fields Horse near Cradock (2 May) and blows up the line at Mortimer south of Cradock (2-3 May),high,SAMHS vol073vm,
64,Boer,Malan commando,Cmdt Wynand Malan,Malan commando,1901-05-23,1901-05-23,move,Cradock district,Richmond district,Richmond,Malan is driven north into the Richmond district by pursuing columns,medium,SAMHS vol073vm,
66,Boer,Malan commando,Cmdt Wynand Malan,Malan commando,1901-06-25,1901-06-25,engagement,Richmond district,Richmond,Richmond,Malan again attacks Richmond (Brabant's Horse heavily engaged nearby on 28 Jun - row 43),medium,SAMHS vol073vm,
68,British,Town Guards & DMT,"Gould, Capt",Town Guards & DMT,1901-01-01,1901-01-31,garrison,,Jansenville,Jansenville,Volunteers form a Town Guard at Jansenville (supplemented by British troops) under Capt Gould; a fort is built in Jan 1901,high,SAMHS vol102rt; angloboerwar Jansenville TG,
69,British,Town Guards & DMT,,Town Guards & DMT,1901-03-03,1901-03-06,engagement,,Pearston,Pearston,The Pearston Town Guard is overwhelmed when Kritzinger surrounds and loots the village (3-6 Mar 1901),high,SAMHS vol073vm; angloboerwar,Boer side recorded in row 36
70,British,Town Guards & DMT,,Town Guards & DMT,1901-03-06,1901-03-06,engagement,,Aberdeen,Aberdeen,The Aberdeen Town Guard repulses the attack by Scheepers & Fouché (6 Mar 1901),high,SAMHS vol073vm,Boer side in rows 41 & 51
71,British,Town Guards & DMT,,Town Guards & DMT,1901-06-01,1901-06-01,engagement,,Willowmore,Willowmore,Scheepers attacks Willowmore for the second time; six of the Town Guard are killed defending the village,high,SAMHS vol094dd; SAMHS jnl2 vol185gs,dedicated SAMHS study of the 1 Jun 1901 attack
72,British,Town Guards & DMT,Maj H.T. Nickalls (17th Lancers),Town Guards & DMT,1901-10-08,1901-10-08,engagement,Tarkastad district,Vaal Vlei,Tarkastad,"The Tarkastad Mounted Troops, with Maj H.T. Nickalls of the 17th Lancers attached, see action near Vaal Vlei on 8 Oct 1901",medium,angloboerwar Boer War Forum (Town Guard/DMT thread); angloboerwar locally-raised troops,
73,British,Town Guards & DMT,"Gardner, Cmdt J.; Rubidge, Adj Capt F.",Town Guards & DMT,1901-01-01,1902-03-31,garrison,,Graaff-Reinet,Graaff-Reinet,Graaff-Reinet raises a Town Guard of 100 men under Cmdt J. Gardner (Adjutant Capt F. Rubidge); strength grows to 220 by Mar 1902,high,SAMHS vol073vm,
74,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-04-07,1901-04-07,engagement,Aberdeen district,north of Aberdeen,Aberdeen,"Kritzinger's main body cuts off a strong British patrol of ~100 Lancers and Yeomanry north of Aberdeen, taking 75 temporary prisoners",high,Conan Doyle ch.32; SAMHS vol073vm,attribution conflict: Conan Doyle credits Kritzinger (7 Apr); SAMHS vol073vm credits Scheepers at Zeekoegat farm near Aberdeen (6 Apr) - likely the same 75-prisoner action
75,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1900-12-15,1900-12-19,engagement,Orange River (W of Odendaalstroom),Venterstad district,Venterstad,Kritzinger crosses the Orange ~5 miles west of Odendaalstroom on the night of 15 Dec 1900 with ~300 men and clashes with Grenfell's troops near Venterstad on 19 Dec,medium,SAMHS vol017ng; cf. Conan Doyle ch.32,crossing point/strength conflict: Odendaalstroom 15 Dec ~300 (vol017ng) vs Rhenoster Hoek 16 Dec ~800 then via Burgersdorp (Conan Doyle); opening move of 1st invasion
76,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-06-20,1901-06-21,engagement,Camdeboo,Waterkloof (~30 miles W of Cradock),Graaff-Reinet,"Kritzinger (with Malan) surprises the Midland Mounted Rifles at Waterkloof and badly mauls them: 10 killed, 11 wounded, 66 prisoners",high,Conan Doyle ch.35; SAMHS vol017ng; SAMHS vol073vm,date 20 Jun (Conan Doyle) vs 21 Jun (SAMHS); 'near Swaershoek' (vol073vm) vs '30mi W of Cradock' (Conan Doyle); merges two former duplicate rows
77,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-12-11,1901-12-15,raid,Orange River,Colesberg district,Colesberg,On his last re-entry (crossed 11 Dec with ~101 men) Kritzinger attacks Lovat's Scouts at Quaggafontein and is attacked at Colesberg before being trapped at Fransmanskop on 16 Dec (row 12),medium,SAMHS vol017ng,leads directly into the capture at Fransmanskop
78,Boer,Malan commando,Cmdt Wynand Malan,Malan commando,1901-05-13,1901-05-13,engagement,Camdeboo,south of Maraisburg (Hofmeyr),Hofmeyr,"Malan overwhelms a strong patrol of the Midland Mounted Rifles south of Maraisburg: 6 killed, 11 wounded, 41 prisoners, capturing rifles and ammunition",high,Conan Doyle ch.35,distinct from the 20 Jun Waterkloof mauling (row 76)
79,British,Scobell's column,Lt-Col Harry Scobell,Scobell's column,1901-06-06,1901-06-06,engagement,Cradock district,Barkly East district,Barkly East,"Scobell and Lukin surprise a laager in the Barkly East district, taking 20 prisoners, 166 horses and much of the Jamestown loot",high,Conan Doyle ch.35,
80,British,Monro's column,"Monro, Col",Monro's column,1901-06-17,1901-06-17,engagement,Cradock district,near Tarkastad,Tarkastad,Monro with Lovat's Scouts and Bethune's Mounted Infantry has a minor success against the commandos near Tarkastad,medium,Conan Doyle ch.35,another Tarkastad-district action
81,Boer,Fouche commando,Cmdt Willem Fouché,Fouche commando,1901-06-25,1901-07-05,raid,Barkly East,Transkei native reserves,Barkly East,Fouché dashes from Barkly East into the Transkei reserves for horses and supplies but is turned back north by Griqualand Mounted Rifles and Dalgety's colonials,medium,Conan Doyle ch.35,approximate dates (end of June)
82,Boer,Fouche commando,Cmdt Willem Fouché,Fouche commando,1901-07-14,1901-07-14,engagement,Barkly East district,near Jamestown,Jamestown,"Fouché strongly attacks a Connaught Rangers convoy under Major Moore near Jamestown but is driven off after hours of fighting (British 7 killed, 17 wounded)",high,Conan Doyle ch.35,
83,Boer,Lategan commando,"Lategan, Cmdt",Lategan commando,1901-07-21,1901-07-21,engagement,Murraysburg district,near Murraysburg,Murraysburg,"Lukin with 90 men rides into 150 of Lategan's band near Murraysburg, capturing 10 men and 100 horses",high,Conan Doyle ch.35,first appearance of Lategan's commando in the data
84,British,French's columns (combined drive),Lt-Gen John French (directing),French's columns (combined drive),1901-08-07,1901-08-10,drive,Graaff-Reinet,Theebus,Graaff-Reinet,French's cordon hustles the main Boer body from Graaff-Reinet to Theebus (7-10 Aug) and thrusts it over the Stormberg-Naauwpoort railway line with loss of men and horses,high,Conan Doyle ch.35,
85,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1900-12-30,1900-12-30,raid,Steynsburg district,Sherburne (N of Rosmead Junction),Middelburg (Cape),Kritzinger's force crosses the railway at Sherburne north of Rosmead Junction and holds up a train carrying Colonial troops,high,Conan Doyle ch.32; SAMHS jnl2 vol196rs,first railway smash of the invasion
86,British,Byng's column,Col Julian Byng,Byng's column,1901-01-11,1901-01-11,engagement,Murraysburg district,near Murraysburg,Murraysburg,Byng's column has a sharp skirmish with Kritzinger's men near Murraysburg at a cost of ~20 casualties,high,Conan Doyle ch.32,
87,Boer,Scheepers commando,Cmdt Gideon Scheepers,Scheepers commando,1901-01-16,1901-01-19,raid,Aberdeen,Willowmore,Willowmore,The Boer vanguard dashes ~70 miles in two days - at Aberdeen on 16 Jan and Willowmore on 18 Jan - Scheepers making his first attack on Willowmore on 19 Jan,high,Conan Doyle ch.32; SAMHS jnl2 vol196rs,
88,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-02-06,1901-02-06,engagement,Aberdeen district,Klipplaat,Klipplaat,Boers (~200) overwhelm Capt Oliver's 25 men of the 7th Dragoon Guards and West Australians at Klipplaat after an 8-hour defence costing the patrol ~50% casualties,high,Conan Doyle ch.32,
89,Boer,Kritzinger commando,"Kritzinger, Cmdt P.H.",Kritzinger commando,1901-02-19,1901-02-19,move,Cape Midlands,Nieu-Bethesda,New Bethesda,Kritzinger falls back to Bethesda with Gorringe and Lowe's columns at his heels,medium,Conan Doyle ch.32,
90,Boer,Schoeman commando (Colesberg),Genl Esaias Schoeman,Schoeman commando (Colesberg),1899-11-01,1899-12-12,advance,Orange River (Norvalspont),Colesberg,Colesberg,"OFS commandos cross at Norval's Pont in November 1899 and occupy the Colesberg district (~2,000 men), threatening the midland railway and Lord Methuen's communications",high,With the Flag to Pretoria vol.1 ch.XV,
91,British,French's Colesberg force,Maj-Gen John French,French's Colesberg force,1899-12-08,1899-12-13,engagement,Naauwpoort,Arundel,Arundel,"French concentrates around Arundel/Rensburg to contain the Colesberg Boers and on 13 Dec repels a ~1,800-strong Boer attack near Arundel and Kuilfontein (Boers ~40 casualties; British 9)",high,With the Flag to Pretoria vol.1 ch.XV,
